event_date,actor_origin,scope,events
2023-12-29,Hezbollah,CNN,6
2023-12-29,Hezbollah,Ampliat,7
2023-12-30,Israel,CNN,21
2023-12-30,Israel,Ampliat,28
2023-12-30,Hezbollah,CNN,3
2023-12-30,Hezbollah,Ampliat,4
2023-12-31,Israel,CNN,17
2023-12-31,Israel,Ampliat,17
2023-12-31,Hezbollah,CNN,2
2023-12-31,Hezbollah,Ampliat,2
2024-01-01,Israel,CNN,19
2024-01-01,Israel,Ampliat,22
2024-01-01,Hezbollah,CNN,4
2024-01-01,Hezbollah,Ampliat,4
2024-01-02,Israel,CNN,20
2024-01-02,Israel,Ampliat,21
2024-01-02,Hezbollah,CNN,9
2024-01-02,Hezbollah,Ampliat,10
2024-01-03,Israel,CNN,8
2024-01-03,Israel,Ampliat,8
2024-01-03,Hezbollah,CNN,9
2024-01-03,Hezbollah,Ampliat,11
2024-01-04,Israel,CNN,25
2024-01-04,Israel,Ampliat,25
2024-01-04,Hezbollah,CNN,8
2024-01-04,Hezbollah,Ampliat,8
2024-01-05,Israel,CNN,27
2024-01-05,Israel,Ampliat,27
2024-01-05,Hezbollah,CNN,3
2024-01-05,Hezbollah,Ampliat,3
2024-01-06,Israel,CNN,43
2024-01-06,Israel,Ampliat,43
2024-01-06,Hezbollah,CNN,7
2024-01-06,Hezbollah,Ampliat,7
2024-01-07,Israel,CNN,22
2024-01-07,Israel,Ampliat,22
2024-01-07,Hezbollah,CNN,10
2024-01-07,Hezbollah,Ampliat,11
2024-01-08,Israel,CNN,25
2024-01-08,Israel,Ampliat,26
2024-01-08,Hezbollah,CNN,5
2024-01-08,Hezbollah,Ampliat,6
2024-01-09,Israel,CNN,21
2024-01-09,Israel,Ampliat,21
2024-01-09,Hezbollah,CNN,8
2024-01-09,Hezbollah,Ampliat,9
2024-01-10,Israel,CNN,19
2024-01-10,Israel,Ampliat,19
2024-01-10,Hezbollah,CNN,2
2024-01-10,Hezbollah,Ampliat,2
2024-01-11,Israel,CNN,18
2024-01-11,Israel,Ampliat,18
2024-01-11,Hezbollah,CNN,9
2024-01-11,Hezbollah,Ampliat,10
2024-01-12,Israel,CNN,17
2024-01-12,Israel,Ampliat,17
2024-01-12,Hezbollah,CNN,5
2024-01-12,Hezbollah,Ampliat,5
2024-01-13,Israel,CNN,19
2024-01-13,Israel,Ampliat,19
2024-01-13,Hezbollah,CNN,7
2024-01-13,Hezbollah,Ampliat,8
2024-01-14,Israel,CNN,34
2024-01-14,Israel,Ampliat,34
2024-01-14,Hezbollah,CNN,12
2024-01-14,Hezbollah,Ampliat,12
2024-01-15,Israel,CNN,19
2024-01-15,Israel,Ampliat,19
2024-01-15,Hezbollah,CNN,6
2024-01-15,Hezbollah,Ampliat,7
2024-01-16,Israel,CNN,18
2024-01-16,Israel,Ampliat,18
2024-01-16,Hezbollah,CNN,5
2024-01-16,Hezbollah,Ampliat,6
2024-01-17,Israel,CNN,28
2024-01-17,Israel,Ampliat,28
2024-01-17,Hezbollah,CNN,6
2024-01-17,Hezbollah,Ampliat,6
2024-01-18,Israel,CNN,29
2024-01-18,Israel,Ampliat,32
2024-01-18,Hezbollah,CNN,6
2024-01-18,Hezbollah,Ampliat,7
2024-01-19,Israel,CNN,23
2024-01-19,Israel,Ampliat,23
2024-01-19,Hezbollah,CNN,2
2024-01-19,Hezbollah,Ampliat,3
2024-01-20,Israel,CNN,17
2024-01-20,Israel,Ampliat,18
2024-01-20,Hezbollah,CNN,3
2024-01-20,Hezbollah,Ampliat,3
2024-01-21,Israel,CNN,30
2024-01-21,Israel,Ampliat,30
2024-01-21,Hezbollah,CNN,3
2024-01-21,Hezbollah,Ampliat,4
2024-01-22,Israel,CNN,36
2024-01-22,Israel,Ampliat,36
2024-01-22,Hezbollah,CNN,6
2024-01-22,Hezbollah,Ampliat,7
2024-01-23,Israel,CNN,21
2024-01-23,Israel,Ampliat,21
2024-01-23,Hezbollah,CNN,4
2024-01-23,Hezbollah,Ampliat,4
2024-01-24,Israel,CNN,16
2024-01-24,Israel,Ampliat,16
2024-01-24,Hezbollah,CNN,2
2024-01-24,Hezbollah,Ampliat,3
2024-01-25,Israel,CNN,22
2024-01-25,Israel,Ampliat,22
2024-01-25,Hezbollah,CNN,2
2024-01-25,Hezbollah,Ampliat,3
2024-01-26,Israel,CNN,33
2024-01-26,Israel,Ampliat,33
2024-01-26,Hezbollah,CNN,7
2024-01-26,Hezbollah,Ampliat,10
2024-01-27,Israel,CNN,28
2024-01-27,Israel,Ampliat,28
2024-01-27,Hezbollah,CNN,6
2024-01-27,Hezbollah,Ampliat,7
2024-01-28,Israel,CNN,27
2024-01-28,Israel,Ampliat,27
2024-01-28,Hezbollah,CNN,7
2024-01-28,Hezbollah,Ampliat,7
2024-01-29,Israel,CNN,32
2024-01-29,Israel,Ampliat,33
2024-01-29,Hezbollah,CNN,11
2024-01-29,Hezbollah,Ampliat,12
2024-01-30,Israel,CNN,17
2024-01-30,Israel,Ampliat,19
2024-01-30,Hezbollah,CNN,5
2024-01-30,Hezbollah,Ampliat,6
2024-01-31,Israel,CNN,27
2024-01-31,Israel,Ampliat,28
2024-01-31,Hezbollah,CNN,8
2024-01-31,Hezbollah,Ampliat,8
2024-02-01,Israel,CNN,30
2024-02-01,Israel,Ampliat,30
2024-02-01,Hezbollah,CNN,4
2024-02-01,Hezbollah,Ampliat,7
2024-02-02,Israel,CNN,27
2024-02-02,Israel,Ampliat,29
2024-02-02,Hezbollah,CNN,2
2024-02-02,Hezbollah,Ampliat,3
2024-02-03,Israel,CNN,31
2024-02-03,Israel,Ampliat,31
2024-02-03,Hezbollah,CNN,8
2024-02-03,Hezbollah,Ampliat,10
2024-02-04,Israel,CNN,31
2024-02-04,Israel,Ampliat,31
2024-02-04,Hezbollah,CNN,7
2024-02-04,Hezbollah,Ampliat,9
2024-02-05,Israel,CNN,29
2024-02-05,Israel,Ampliat,29
2024-02-05,Hezbollah,CNN,4
2024-02-05,Hezbollah,Ampliat,6
2024-02-06,Israel,CNN,21
2024-02-06,Israel,Ampliat,21
2024-02-06,Hezbollah,CNN,6
2024-02-06,Hezbollah,Ampliat,9
2024-02-07,Israel,CNN,31
2024-02-07,Israel,Ampliat,38
2024-02-07,Hezbollah,CNN,5
2024-02-07,Hezbollah,Ampliat,7
2024-02-08,Israel,CNN,33
2024-02-08,Israel,Ampliat,33
2024-02-08,Hezbollah,CNN,8
2024-02-08,Hezbollah,Ampliat,11
2024-02-09,Israel,CNN,39
2024-02-09,Israel,Ampliat,40
2024-02-09,Hezbollah,CNN,7
2024-02-09,Hezbollah,Ampliat,11
2024-02-10,Israel,CNN,36
2024-02-10,Israel,Ampliat,37
2024-02-10,Hezbollah,CNN,9
2024-02-10,Hezbollah,Ampliat,10
2024-02-11,Israel,CNN,23
2024-02-11,Israel,Ampliat,23
2024-02-11,Hezbollah,CNN,4
2024-02-11,Hezbollah,Ampliat,5
2024-02-12,Israel,CNN,41
2024-02-12,Israel,Ampliat,42
2024-02-12,Hezbollah,CNN,5
2024-02-12,Hezbollah,Ampliat,8
2024-02-13,Israel,CNN,31
2024-02-13,Israel,Ampliat,31
2024-02-13,Hezbollah,CNN,6
2024-02-13,Hezbollah,Ampliat,8
2024-02-14,Israel,CNN,33
2024-02-14,Israel,Ampliat,33
2024-02-14,Hezbollah,CNN,4
2024-02-14,Hezbollah,Ampliat,4
2024-02-15,Israel,CNN,44
2024-02-15,Israel,Ampliat,44
2024-02-15,Hezbollah,CNN,8
2024-02-15,Hezbollah,Ampliat,12
2024-02-16,Israel,CNN,30
2024-02-16,Israel,Ampliat,31
2024-02-16,Hezbollah,CNN,3
2024-02-16,Hezbollah,Ampliat,5
2024-02-17,Israel,CNN,27
2024-02-17,Israel,Ampliat,28
2024-02-17,Hezbollah,CNN,4
2024-02-17,Hezbollah,Ampliat,6
2024-02-18,Israel,CNN,18
2024-02-18,Israel,Ampliat,18
2024-02-18,Hezbollah,CNN,8
2024-02-18,Hezbollah,Ampliat,10
2024-02-19,Israel,CNN,17
2024-02-19,Israel,Ampliat,17
2024-02-19,Hezbollah,CNN,2
2024-02-19,Hezbollah,Ampliat,4
2024-02-20,Israel,CNN,28
2024-02-20,Israel,Ampliat,28
2024-02-20,Hezbollah,CNN,3
2024-02-20,Hezbollah,Ampliat,5
2024-02-21,Israel,CNN,33
2024-02-21,Israel,Ampliat,38
2024-02-21,Hezbollah,CNN,8
2024-02-21,Hezbollah,Ampliat,10
2024-02-22,Israel,CNN,32
2024-02-22,Israel,Ampliat,33
2024-02-22,Hezbollah,CNN,6
2024-02-22,Hezbollah,Ampliat,11
2024-02-23,Israel,CNN,22
2024-02-23,Israel,Ampliat,22
2024-02-23,Hezbollah,CNN,3
2024-02-23,Hezbollah,Ampliat,5
2024-02-24,Israel,CNN,30
2024-02-24,Israel,Ampliat,30
2024-02-24,Hezbollah,CNN,8
2024-02-24,Hezbollah,Ampliat,10
2024-02-25,Israel,CNN,22
2024-02-25,Israel,Ampliat,23
2024-02-25,Hezbollah,CNN,7
2024-02-25,Hezbollah,Ampliat,8
2024-02-26,Israel,CNN,26
2024-02-26,Israel,Ampliat,26
2024-02-26,Hezbollah,CNN,7
2024-02-26,Hezbollah,Ampliat,10
2024-02-27,Israel,CNN,43
2024-02-27,Israel,Ampliat,43
2024-02-27,Hezbollah,CNN,5
2024-02-27,Hezbollah,Ampliat,7
2024-02-28,Israel,CNN,30
2024-02-28,Israel,Ampliat,33
2024-02-28,Hezbollah,CNN,4
2024-02-28,Hezbollah,Ampliat,6
2024-02-29,Israel,CNN,33
2024-02-29,Israel,Ampliat,35
2024-02-29,Hezbollah,CNN,6
2024-02-29,Hezbollah,Ampliat,8
2024-03-01,Israel,CNN,19
2024-03-01,Israel,Ampliat,20
2024-03-01,Hezbollah,CNN,5
2024-03-01,Hezbollah,Ampliat,6
2024-03-02,Israel,CNN,32
2024-03-02,Israel,Ampliat,32
2024-03-02,Hezbollah,CNN,4
2024-03-02,Hezbollah,Ampliat,6
2024-03-03,Israel,CNN,18
2024-03-03,Israel,Ampliat,18
2024-03-03,Hezbollah,CNN,5
2024-03-03,Hezbollah,Ampliat,7
2024-03-04,Israel,CNN,23
2024-03-04,Israel,Ampliat,23
2024-03-04,Hezbollah,CNN,7
2024-03-04,Hezbollah,Ampliat,10
2024-03-05,Israel,CNN,34
2024-03-05,Israel,Ampliat,34
2024-03-05,Hezbollah,CNN,9
2024-03-05,Hezbollah,Ampliat,10
2024-03-06,Israel,CNN,21
2024-03-06,Israel,Ampliat,22
2024-03-06,Hezbollah,CNN,0
2024-03-06,Hezbollah,Ampliat,3
2024-03-07,Israel,CNN,32
2024-03-07,Israel,Ampliat,32
2024-03-07,Hezbollah,CNN,6
2024-03-07,Hezbollah,Ampliat,11
2024-03-08,Israel,CNN,28
2024-03-08,Israel,Ampliat,28
2024-03-08,Hezbollah,CNN,7
2024-03-08,Hezbollah,Ampliat,10
2024-03-09,Israel,CNN,22
2024-03-09,Israel,Ampliat,22
2024-03-09,Hezbollah,CNN,7
2024-03-09,Hezbollah,Ampliat,9
2024-03-10,Israel,CNN,20
2024-03-10,Israel,Ampliat,20
2024-03-10,Hezbollah,CNN,7
2024-03-10,Hezbollah,Ampliat,12
2024-03-11,Israel,CNN,19
2024-03-11,Israel,Ampliat,19
2024-03-11,Hezbollah,CNN,9
2024-03-11,Hezbollah,Ampliat,11
2024-03-12,Israel,CNN,22
2024-03-12,Israel,Ampliat,24
2024-03-12,Hezbollah,CNN,14
2024-03-12,Hezbollah,Ampliat,20
2024-03-13,Israel,CNN,29
2024-03-13,Israel,Ampliat,29
2024-03-13,Hezbollah,CNN,4
2024-03-13,Hezbollah,Ampliat,7
2024-03-14,Israel,CNN,18
2024-03-14,Israel,Ampliat,18
2024-03-14,Hezbollah,CNN,4
2024-03-14,Hezbollah,Ampliat,7
2024-03-15,Israel,CNN,25
2024-03-15,Israel,Ampliat,25
2024-03-15,Hezbollah,CNN,7
2024-03-15,Hezbollah,Ampliat,9
2024-03-16,Israel,CNN,33
2024-03-16,Israel,Ampliat,35
2024-03-16,Hezbollah,CNN,5
2024-03-16,Hezbollah,Ampliat,7
2024-03-17,Israel,CNN,27
2024-03-17,Israel,Ampliat,29
2024-03-17,Hezbollah,CNN,7
2024-03-17,Hezbollah,Ampliat,9
2024-03-18,Israel,CNN,18
2024-03-18,Israel,Ampliat,18
2024-03-18,Hezbollah,CNN,5
2024-03-18,Hezbollah,Ampliat,7
2024-03-19,Israel,CNN,25
2024-03-19,Israel,Ampliat,26
2024-03-19,Hezbollah,CNN,8
2024-03-19,Hezbollah,Ampliat,11
2024-03-20,Israel,CNN,17
2024-03-20,Israel,Ampliat,17
2024-03-20,Hezbollah,CNN,6
2024-03-20,Hezbollah,Ampliat,8
2024-03-21,Israel,CNN,33
2024-03-21,Israel,Ampliat,33
2024-03-21,Hezbollah,CNN,11
2024-03-21,Hezbollah,Ampliat,11
2024-03-22,Israel,CNN,18
2024-03-22,Israel,Ampliat,18
2024-03-22,Hezbollah,CNN,5
2024-03-22,Hezbollah,Ampliat,6
2024-03-23,Israel,CNN,14
2024-03-23,Israel,Ampliat,14
2024-03-23,Hezbollah,CNN,4
2024-03-23,Hezbollah,Ampliat,6
2024-03-24,Israel,CNN,29
2024-03-24,Israel,Ampliat,30
2024-03-24,Hezbollah,CNN,7
2024-03-24,Hezbollah,Ampliat,8
2024-03-25,Israel,CNN,12
2024-03-25,Israel,Ampliat,12
2024-03-25,Hezbollah,CNN,7
2024-03-25,Hezbollah,Ampliat,8
2024-03-26,Israel,CNN,39
2024-03-26,Israel,Ampliat,46
2024-03-26,Hezbollah,CNN,8
2024-03-26,Hezbollah,Ampliat,11
2024-03-27,Israel,CNN,16
2024-03-27,Israel,Ampliat,16
2024-03-27,Hezbollah,CNN,6
2024-03-27,Hezbollah,Ampliat,7
2024-03-28,Israel,CNN,19
2024-03-28,Israel,Ampliat,20
2024-03-28,Hezbollah,CNN,5
2024-03-28,Hezbollah,Ampliat,8
2024-03-29,Israel,CNN,28
2024-03-29,Israel,Ampliat,30
2024-03-29,Hezbollah,CNN,8
2024-03-29,Hezbollah,Ampliat,10
2024-03-30,Israel,CNN,26
2024-03-30,Israel,Ampliat,27
2024-03-30,Hezbollah,CNN,8
2024-03-30,Hezbollah,Ampliat,10
2024-03-31,Israel,CNN,19
2024-03-31,Israel,Ampliat,20
2024-03-31,Hezbollah,CNN,5
2024-03-31,Hezbollah,Ampliat,8
2024-04-01,Israel,CNN,25
2024-04-01,Israel,Ampliat,27
2024-04-01,Hezbollah,CNN,2
2024-04-01,Hezbollah,Ampliat,3
2024-04-02,Israel,CNN,15
2024-04-02,Israel,Ampliat,15
2024-04-02,Hezbollah,CNN,5
2024-04-02,Hezbollah,Ampliat,7
2024-04-03,Israel,CNN,23
2024-04-03,Israel,Ampliat,24
